NP_249233.1	PA0542	NODATA
NP_249234.1	PA0543	NODATA
NP_249235.1	PA0544	NODATA
NP_249236.1	PA0545	NODATA
NP_249237.1	PA0546	metK
NP_249238.1	PA0547	NODATA
NP_249239.1	PA0548	tktA
NP_249240.1	PA0549	NODATA
NP_249241.1	PA0550	NODATA
NP_249242.1	PA0551	epd
NP_249243.1	PA0552	pgk
NP_249244.1	PA0553	NODATA
NP_249245.1	PA0554	NODATA
NP_249246.1	PA0555	fda
NP_249247.1	PA0556	NODATA
NP_249248.1	PA0557	NODATA
NP_249249.1	PA0558	NODATA
NP_249250.1	PA0559	NODATA
NP_249251.1	PA0560	NODATA
NP_249252.1	PA0561	NODATA
NP_249253.1	PA0562	NODATA
NP_249254.1	PA0563	NODATA
NP_249255.1	PA0564	NODATA
NP_249256.1	PA0565	NODATA
NP_249257.1	PA0566	NODATA
NP_249258.1	PA0567	NODATA
NP_249259.1	PA0568	NODATA
NP_249260.1	PA0569	NODATA
NP_249261.1	PA0570	NODATA
NP_249262.1	PA0571	NODATA
NP_249263.1	PA0572	NODATA
NP_249264.1	PA0573	NODATA
NP_249265.1	PA0574	NODATA
NP_249266.1	PA0575	NODATA
NP_249267.1	PA0576	rpoD
NP_249268.1	PA0577	dnaG
NP_249269.1	PA0578	NODATA
NP_249270.1	PA0579	rpsU
NP_249271.1	PA0580	gcp
NP_249272.1	PA0581	NODATA
NP_249273.1	PA0582	folB
NP_249274.1	PA0583	NODATA
NP_249275.1	PA0584	cca
NP_249276.1	PA0585	NODATA
NP_249277.1	PA0586	NODATA
NP_249278.1	PA0587	NODATA
NP_249279.1	PA0588	NODATA
NP_249280.1	PA0589	NODATA
NP_249281.1	PA0590	apaH
NP_249282.1	PA0591	NODATA
NP_249283.1	PA0592	ksgA
NP_249284.1	PA0593	pdxA
NP_249285.1	PA0594	surA
NP_249286.1	PA0595	ostA
NP_249287.1	PA0596	NODATA
NP_249288.1	PA0597	NODATA
NP_249289.1	PA0598	NODATA
NP_249290.1	PA0599	NODATA
NP_249291.1	PA0600	NODATA
NP_249292.1	PA0601	NODATA
NP_249293.1	PA0602	NODATA
NP_249294.1	PA0603	NODATA
NP_249295.1	PA0604	NODATA
NP_249296.1	PA0605	NODATA
NP_249297.1	PA0606	NODATA
NP_249298.1	PA0607	rpe
NP_249299.1	PA0608	NODATA
NP_249300.1	PA0609	trpE
NP_249301.1	PA0610	prtN
NP_249302.1	PA0611	prtR
NP_249303.1	PA0612	ptrB
NP_249304.1	PA0613	NODATA
NP_249305.1	PA0614	NODATA
NP_249306.1	PA0615	NODATA
NP_249307.1	PA0616	NODATA
NP_249308.1	PA0617	NODATA
NP_249309.1	PA0618	NODATA
NP_249310.1	PA0619	NODATA
NP_249311.1	PA0620	NODATA
NP_249312.1	PA0621	NODATA
NP_249313.1	PA0622	NODATA
NP_249314.1	PA0623	NODATA
NP_249315.1	PA0624	NODATA
NP_249316.1	PA0625	NODATA
NP_249317.1	PA0626	NODATA
NP_249318.1	PA0627	NODATA
NP_249319.1	PA0628	NODATA
NP_249320.1	PA0629	NODATA
NP_249321.1	PA0630	NODATA
NP_249322.1	PA0631	NODATA
NP_249324.1	PA0633	NODATA
