NP_415354.1	b0833	pdeI
NP_415355.1	b0834	dgcI
NP_415356.1	b0835	rimO
NP_415357.1	b0836	bssR
NP_415358.1	b0837	yliI
NP_415359.4	b0838	gstB
NP_415360.1	b0839	dacC
NP_415361.1	b0840	deoR
NP_415362.1	b0841	ybjG
NP_415363.1	b0842	mdfA
NP_415364.1	b0843	ybjH
NP_415365.4	b0844	ybjI
NP_415366.1	b0845	ybjJ
NP_415367.1	b0846	rcdA
NP_415368.1	b0847	ybjL
NP_415369.1	b0848	ybjM
NP_415370.1	b0849	grxA
NP_415371.1	b0850	ybjC
NP_415372.1	b0851	nfsA
NP_415373.1	b0852	rimK
NP_415374.1	b0853	ybjN
NP_415375.1	b0854	potF
NP_415376.4	b0855	potG
NP_415377.1	b0856	potH
NP_415378.1	b0857	potI
NP_415379.1	b0858	ybjO
NP_415380.1	b0859	rlmC
NP_415381.1	b0860	artJ
NP_415382.1	b0861	artM
NP_415383.1	b0862	artQ
NP_415384.1	b0863	artI
NP_415385.1	b0864	artP
NP_415386.1	b0865	ybjP
NP_415387.1	b0866	ybjQ
NP_415388.1	b0867	amiD
NP_415389.2	b0868	ybjS
NP_415390.4	b0869	ybjT
NP_415391.1	b0870	ltaE
NP_415392.1	b0871	poxB
NP_415393.1	b0872	hcr
NP_415394.4	b0873	hcp
NP_415395.2	b0874	lysO
NP_415396.1	b0875	aqpZ
NP_415397.1	b0876	ybjD
NP_415398.1	b0877	ybjX
NP_415399.4	b0878	macA
NP_415400.1	b0879	macB
NP_415401.1	b0880	cspD
NP_415402.1	b0881	clpS
NP_415403.1	b0882	clpA
NP_415404.1	b0884	infA
NP_415405.1	b0885	aat
NP_415406.1	b0886	cydC
NP_415407.1	b0887	cydD
NP_415408.1	b0888	trxB
NP_415409.1	b0889	lrp
NP_415410.1	b0890	ftsK
NP_415411.2	b0891	lolA
NP_415412.1	b0892	rarA
NP_415413.1	b0893	serS
NP_415414.4	b0894	dmsA
